Country,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Birthrate,Deathrate,Agriculture,Industry,Service,Life expectancy,CPI Score,unemployment_percentage,Region,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Latvia,2274735,64589,35.2,0.82,-2.23,9.55,10200.0,99.8,321.4,29.67,0.47,69.86,9.24,13.66,0.04,0.261,0.6990000000000001,73.73125,52.6943,9.0,Europe,64,5.676199980926514,1.1853497249603282,1.2739169883956898,0.697091394165039,0.3058755824890136,0.0944589572134018,0.11211054532957077
Lesotho,2022331,30355,66.6,0.0,-0.74,84.23,3000.0,84.8,23.7,10.87,0.13,89.0,24.75,28.71,0.163,0.44299999999999995,0.39399999999999996,48.78124999999999,41.916105,28.1,Africa,137,4.07900002193451,0.4643678117275237,1.1537812965583798,0.08077999999999999,0.37258282480716703,0.12638431797385224,0.121993660004139
Liberia,3042004,111370,27.3,0.52,0.0,128.87,1000.0,57.5,2.3,3.95,2.28,93.77,44.77,23.1,0.769,0.054000000000000006,0.177,57.525,34.588795000000005,2.8,Africa,148,3.8391999984741223,0.0892603586096764,0.7890655873222353,0.3027156393594742,0.332934236486435,0.163277977054596,0.11723964981436732
Libya,5900754,1759540,3.4,0.1,0.0,24.6,6400.0,82.6,127.1,1.03,0.19,98.78,26.49,3.48,0.076,0.499,0.425,72.48750000000003,17.81449,30.0,Africa,71,5.597000019073485,1.0658266128692622,1.2159888660202023,0.5946018039398193,0.4402266460227966,0.1229387332906724,0.14928604203605653
Lithuania,3585906,65200,55.0,0.14,-0.71,6.89,11400.0,99.6,223.4,45.22,0.91,53.87,8.75,10.98,0.055,0.325,0.62,72.80624999999998,56.251965000000006,7.0,Europe,50,5.929799990081787,1.233202469573974,1.367415221321106,0.708193988040924,0.25558835698795324,0.0215349313352704,0.021305128570616245
Luxembourg,474413,2586,183.5,0.0,8.97,4.81,55100.0,100.0,515.4,23.28,0.4,76.32,11.94,8.41,0.01,0.13,0.86,80.78125,82.10703000000001,5.9,Europe,16,6.935999983215332,1.6376747195587158,1.343240733169556,0.9034898990364072,0.5838315782127379,0.2808901963748932,0.30237688480377195
Macedonia,2050554,25333,80.9,0.0,-1.45,10.09,6700.0,0.0,260.0,22.26,1.81,75.93,12.02,8.77,0.11800000000000001,0.319,0.563,74.1125,39.75,23.4,Europe,97,5.122000047683716,0.99034698428154,1.05789325348854,0.679694546122551,0.3327889946699143,0.13762524091959,0.14273444838911298
Madagascar,18595469,587040,31.7,0.82,0.0,76.83,800.0,68.9,3.6,5.07,1.03,93.91,41.41,11.11,0.276,0.165,0.5589999999999999,62.74375,27.140804000000006,2.1,Africa,150,3.7454000106811516,0.2659177386341094,0.7732360744781495,0.4341046617603303,0.17737535308456426,0.13780650609493258,0.11819239509916307
Malawi,13013926,118480,109.8,0.0,0.0,103.32,600.0,62.7,7.9,23.38,1.49,75.13,43.13,19.33,0.342,0.158,0.499,49.89375,32.702284999999996,20.4,Africa,144,3.8830000057220464,0.14271440765953064,0.43438176628875735,0.3270699166793825,0.4571509307556152,0.17211609395217903,0.17653433080148695
Malaysia,24385858,329750,74.0,1.42,0.0,17.7,9000.0,88.7,179.0,5.48,17.61,76.91,22.86,5.05,0.084,0.48,0.436,73.75625000000002,48.407416,3.4,Asia,52,5.904000022125244,1.209899083953858,1.1328252068481441,0.6926768855285643,0.43736299649238575,0.23668578592681885,0.17881814162540435
